Depth, Vp, Vs, Dens, Qa, Qb
20.000, 5.800, 3.46, 2.70, 767, 500
15.000, 6.50, 3.85, 2.92, 767, 500
42.05, 8.04, 4.48, 3.3198, 262, 141
42.05, 8.045, 4.49, 3.3455, 262, 141
45.00, 8.05, 4.50, 3.3713, 262, 141
45.00, 8.175, 4.509, 3.3985, 262, 141
50.00, 8.30, 4.523, 3.4258, 262, 141
50.00, 8.4825, 4.609, 3.4561, 262, 141
50.00, 8.665, 4.696, 3.4864, 262, 141
50.00, 8.475, 4.783, 3.5167, 256, 111
50.00, 9.360, 5.080, 3.7557, 256, 111
50.00, 9.528, 5.186, 3.8175, 296, 134
50.00, 9.6960, 5.292, 3.8793, 296, 134
50.00, 9.864, 5.398, 3.941, 296, 134
